manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
Joyo,China,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.22,,,,,06943206703204,,,Iron Man,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/jf-320-purple-storm/,JF-320 Purple Storm
Joyo,China,Tremolo,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.22,,4.3,5,7.3,"08880675691671, 06943206703259",,,Ironman Series,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/jf-325-molo-trem/,JF-325 Molo-Trem
Joyo,China,Distortion,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.24,,11.8,5.6,6.2,06943206700791,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/jf-35-pocket-metal/,JF-35 Pocket Metal
Joyo,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.24,,11.8,5.6,6.2,06943206702368,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/jf-36-sweet-baby-overdrive/,JF-36 Sweet Baby Overdrive
Dunlop Electronics,USA,Fuzz,Pedal,Sides,True Bypass,Yes,,Center Negative,Analog,No,0.35,,6,5,11,00710137098565,Distortion,Dallas Arbiter Fuzz Face,Authentic Hendrix,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/jimi-hendrix-fuzz-face-distortion/,Jimi Hendrix Fuzz Face Distortion
Dunlop Electronics,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.23,,8.9,5,8.9,00710137066533,,Dunlop Electronics JHF-1,Authentic Hendrix,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/jimi-hendrix-fuzz-face-mini-distortion/,Jimi Hendrix Fuzz Face Mini Distortion
Analog Alien,USA,"Compressor, Overdrive",Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.80,Joe Walsh,14.6,3.8,12,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/joe-walsh-double-classic/,Joe Walsh Double Classic
JEN,Italy,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,,Analog,No,0.80,,11,7.5,2.2,,,Electro Harmonix Big Muff V1,,,,1974,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/jumbo-fuzz-70s/,Jumbo Fuzz (70s)
TC Electronic,China,Chorus,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,8.5,5.6,13.6,04033653180405,,Roland Jono-60 Synthesizer,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/june-60/,June-60
Tone City,China,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.25,,4.2,5.2,9.3,06970131360066,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/kaffir-lime/,Kaffir Lime
